Sales_Person,Country,Product,Date,Amount,Boxes_Shipped
Jan Morforth,Canada,Caramel Stuffed Bars,2/8/2023,10802.13,124
Oby Sorrel,USA,Baker's Choco Chips,12/8/2023,9154.17,123
Madelene Upcott,New Zealand,Peanut Butter Cubes,28/01/2023,5360.89,340
Kelci Walkden,Australia,Orange Choco,29/04/2023,11597.46,462
Marney O'Breen,Australia,Manuka Honey Choco,5/4/2023,14939.24,238
Kaine Padly,Canada,Manuka Honey Choco,18/01/2023,10845.85,146
Jehu Rudeforth,UK,Baker's Choco Chips,16/05/2023,2832.78,104
Kelci Walkden,Australia,White Choc,24/08/2023,8879.72,177
Curtice Advani,India,85% Dark Bars,18/01/2023,298.34,399
Kaine Padly,USA,Eclairs,22/08/2023,7799.51,10
Gunar Cockshoot,UK,99% Dark & Pure,7/3/2023,8.04,85
Beverie Moffet,UK,Choco Coated Almonds,4/3/2023,3212.35,66
Dotty Strutley,Canada,Manuka Honey Choco,22/04/2023,12048.56,113
Kaine Padly,Australia,Milk Bars,9/6/2023,4499.64,91
Jan Morforth,Canada,Fruit & Nut Bars,25/07/2023,9984.16,207
Jan Morforth,India,Smooth Sliky Salty,3/8/2023,11867.83,95
Rafaelita Blaksland,Australia,Manuka Honey Choco,3/8/2023,4806.65,132
Jehu Rudeforth,UK,Milk Bars,3/5/2023,13420.93,232
Husein Augar,Canada,After Nines,19/01/2023,10407.51,301
Roddy Speechley,USA,50% Dark Bites,11/2/2023,10849.39,330
Van Tuxwell,India,Almond Choco,14/06/2023,7247.29,402
Kelci Walkden,USA,50% Dark Bites,23/03/2023,6387.65,227
Madelene Upcott,Canada,85% Dark Bars,17/02/2023,8373.42,108
Dennison Crosswaite,Canada,Smooth Sliky Salty,17/03/2023,1887.19,488
Mallorie Waber,Australia,Spicy Special Slims,29/06/2023,6054.04,287
Ches Bonnell,Canada,Choco Coated Almonds,24/08/2023,16254.61,268
Gigi Bohling,Canada,Spicy Special Slims,4/7/2023,13173.56,301
Roddy Speechley,New Zealand,Almond Choco,28/03/2023,2721.46,72
Curtice Advani,India,Smooth Sliky Salty,19/04/2023,19283.64,139
Ches Bonnell,New Zealand,Mint Chip Choco,18/01/2023,9327.52,232
Van Tuxwell,New Zealand,Fruit & Nut Bars,17/01/2023,3184.03,85
Andria Kimpton,New Zealand,Mint Chip Choco,15/02/2023,9738.74,209
Andria Kimpton,UK,Milk Bars,11/2/2023,16486.65,314
Camilla Castle,USA,Manuka Honey Choco,21/03/2023,16792.23,184
Gunar Cockshoot,New Zealand,Almond Choco,5/1/2023,5752.62,125
Brien Boise,India,Raspberry Choco,30/05/2023,6833.28,157
Jehu Rudeforth,USA,99% Dark & Pure,4/1/2023,2815.72,222
Beverie Moffet,Australia,Fruit & Nut Bars,22/04/2023,1545.36,269
Gigi Bohling,Canada,Milk Bars,10/2/2023,3432.73,120
Dotty Strutley,India,Spicy Special Slims,12/8/2023,1001.99,217
Gunar Cockshoot,USA,Organic Choco Syrup,10/8/2023,2494.19,315
Kelci Walkden,Australia,Raspberry Choco,7/6/2023,770.25,61
Jehu Rudeforth,India,Baker's Choco Chips,6/6/2023,2261.98,73
Karlen McCaffrey,New Zealand,Baker's Choco Chips,5/4/2023,5667.58,204
Wilone O'Kielt,USA,50% Dark Bites,18/04/2023,4738.71,125
Andria Kimpton,India,50% Dark Bites,31/01/2023,13661.89,15
Madelene Upcott,USA,Baker's Choco Chips,22/08/2023,6067.19,151
Jehu Rudeforth,Australia,99% Dark & Pure,25/02/2023,11720.99,204
Jan Morforth,Australia,Mint Chip Choco,22/02/2023,19999.55,106
Oby Sorrel,New Zealand,Milk Bars,12/1/2023,4484.03,201
Brien Boise,UK,Almond Choco,25/05/2023,107.24,129
Kelci Walkden,India,Smooth Sliky Salty,1/2/2023,2525.98,8
Rafaelita Blaksland,UK,Eclairs,27/04/2023,1577.84,67
Gigi Bohling,USA,Smooth Sliky Salty,22/07/2023,2972.07,129
Curtice Advani,New Zealand,Mint Chip Choco,26/01/2023,3691.63,284
Curtice Advani,USA,Mint Chip Choco,24/08/2023,5188.89,293
Madelene Upcott,New Zealand,Fruit & Nut Bars,18/01/2023,5766.51,21
Karlen McCaffrey,India,85% Dark Bars,30/03/2023,1036.77,82
Ches Bonnell,Australia,Caramel Stuffed Bars,17/01/2023,10033.52,163
Kelci Walkden,USA,Fruit & Nut Bars,17/02/2023,5220.69,154
Kelci Walkden,Canada,Peanut Butter Cubes,8/4/2023,8106.62,47
Gigi Bohling,Canada,Drinking Coco,6/7/2023,3934.09,86
Husein Augar,India,Fruit & Nut Bars,4/4/2023,4508.93,231
Jan Morforth,New Zealand,Organic Choco Syrup,2/3/2023,1921.57,226
Gigi Bohling,New Zealand,Raspberry Choco,9/8/2023,1161.31,181
Dennison Crosswaite,Australia,Milk Bars,9/6/2023,11389.29,282
Ches Bonnell,UK,Caramel Stuffed Bars,2/6/2023,3032.3,313
Van Tuxwell,USA,Fruit & Nut Bars,5/7/2023,6871.55,238
Andria Kimpton,Canada,Eclairs,11/8/2023,339.99,124
Madelene Upcott,India,Choco Coated Almonds,11/2/2023,3720.22,141
Kelci Walkden,New Zealand,Spicy Special Slims,11/8/2023,731.19,69
Roddy Speechley,Australia,Drinking Coco,12/5/2023,13288.65,112
Wilone O'Kielt,USA,Milk Bars,15/07/2023,5332.79,101
Andria Kimpton,India,Organic Choco Syrup,18/01/2023,3971.78,131
Madelene Upcott,UK,Fruit & Nut Bars,5/1/2023,9538.21,198
Curtice Advani,Australia,50% Dark Bites,29/06/2023,547.85,221
Brien Boise,Canada,Raspberry Choco,14/06/2023,2994.76,47
Gunar Cockshoot,India,Mint Chip Choco,8/8/2023,4451.38,71
Dennison Crosswaite,India,Mint Chip Choco,23/03/2023,14691.77,143
Barr Faughny,India,Caramel Stuffed Bars,4/1/2023,7042.98,107
Brien Boise,India,Milk Bars,22/02/2023,15583,248
Beverie Moffet,UK,Spicy Special Slims,17/02/2023,9059.82,268
Barr Faughny,USA,Almond Choco,3/2/2023,430.59,85
Van Tuxwell,Canada,Raspberry Choco,17/03/2023,1264.25,137
Wilone O'Kielt,Australia,Baker's Choco Chips,25/01/2023,2995.47,156
Brien Boise,Australia,Milk Bars,27/07/2023,2117.82,56
Husein Augar,Australia,Fruit & Nut Bars,28/01/2023,8081.79,54
Madelene Upcott,Australia,Organic Choco Syrup,5/7/2023,11542.54,49
Van Tuxwell,India,White Choc,15/03/2023,2183.68,46
Gunar Cockshoot,Canada,After Nines,4/8/2023,3125.34,191
Jan Morforth,USA,Fruit & Nut Bars,27/06/2023,4891.86,380
Jan Morforth,Canada,After Nines,13/07/2023,4881.32,183
Barr Faughny,New Zealand,Manuka Honey Choco,24/02/2023,5917.62,238
Karlen McCaffrey,New Zealand,85% Dark Bars,28/06/2023,6312.53,60
Oby Sorrel,Australia,85% Dark Bars,30/06/2023,7956.28,27
Curtice Advani,Canada,Choco Coated Almonds,18/08/2023,5895.88,7
Kaine Padly,India,70% Dark Bites,24/01/2023,13535.7,296
Beverie Moffet,USA,White Choc,11/3/2023,5639.9,129
Ches Bonnell,New Zealand,After Nines,23/06/2023,5813.44,356
Husein Augar,India,Spicy Special Slims,22/08/2023,2514.82,32
Gunar Cockshoot,Canada,50% Dark Bites,4/1/2023,3044.01,22
Curtice Advani,India,Milk Bars,5/4/2023,3902.04,214
Beverie Moffet,India,Milk Bars,15/04/2023,1928.74,354
Husein Augar,Australia,White Choc,11/5/2023,3251.53,241
Andria Kimpton,Canada,Manuka Honey Choco,21/07/2023,5031.94,495
Jan Morforth,New Zealand,Orange Choco,11/2/2023,1350.26,89
Andria Kimpton,Canada,Smooth Sliky Salty,8/7/2023,1187.71,75
Gunar Cockshoot,UK,Raspberry Choco,11/8/2023,7055.38,334
Husein Augar,New Zealand,After Nines,4/8/2023,7231.89,8
Andria Kimpton,New Zealand,Orange Choco,14/06/2023,9295.83,93
Dennison Crosswaite,UK,Baker's Choco Chips,17/01/2023,2276.94,296
Jehu Rudeforth,Canada,Orange Choco,23/06/2023,4229.79,548
Jehu Rudeforth,UK,Smooth Sliky Salty,24/08/2023,1640.53,119
Andria Kimpton,UK,Caramel Stuffed Bars,7/6/2023,8234.5,294
Jan Morforth,UK,White Choc,22/06/2023,10087.04,46
Dotty Strutley,USA,Fruit & Nut Bars,13/07/2023,3169.26,281
Kelci Walkden,UK,Choco Coated Almonds,24/05/2023,10355.42,215
Gunar Cockshoot,New Zealand,After Nines,9/8/2023,7772.63,140
Kaine Padly,Canada,85% Dark Bars,6/4/2023,1992.77,31
Jan Morforth,New Zealand,Manuka Honey Choco,28/07/2023,1815.56,266
Gunar Cockshoot,New Zealand,Raspberry Choco,24/08/2023,727.11,50
Van Tuxwell,Australia,99% Dark & Pure,17/01/2023,114.96,132
Curtice Advani,USA,Drinking Coco,7/2/2023,5378.09,142
Brien Boise,Australia,Spicy Special Slims,9/5/2023,6707.63,269
Mallorie Waber,New Zealand,85% Dark Bars,6/6/2023,8167.18,102
Wilone O'Kielt,USA,Choco Coated Almonds,6/6/2023,9950.14,6
Beverie Moffet,New Zealand,Organic Choco Syrup,24/05/2023,7229.26,215
Gunar Cockshoot,UK,50% Dark Bites,13/01/2023,2260.21,128
Marney O'Breen,USA,Raspberry Choco,23/05/2023,6206.9,149
Jehu Rudeforth,UK,White Choc,29/06/2023,1889.83,286
Jehu Rudeforth,New Zealand,85% Dark Bars,11/3/2023,7797.24,88
Dotty Strutley,USA,85% Dark Bars,25/04/2023,11644.92,536
Rafaelita Blaksland,Australia,Smooth Sliky Salty,30/05/2023,4207.22,255
Curtice Advani,India,Manuka Honey Choco,23/05/2023,1683.88,169
Mallorie Waber,USA,Peanut Butter Cubes,23/05/2023,1337.36,18
Van Tuxwell,Canada,Peanut Butter Cubes,24/06/2023,7147.04,300
Kelci Walkden,New Zealand,Smooth Sliky Salty,11/3/2023,12030.46,296
Rafaelita Blaksland,USA,Smooth Sliky Salty,27/07/2023,15844.58,232
Rafaelita Blaksland,USA,White Choc,16/08/2023,5025.84,133
Roddy Speechley,Canada,Smooth Sliky Salty,7/3/2023,9902.03,12
Curtice Advani,New Zealand,After Nines,5/4/2023,7944.07,33
Camilla Castle,India,85% Dark Bars,4/5/2023,9523.65,55
Ches Bonnell,USA,Choco Coated Almonds,4/1/2023,16240.71,93
Marney O'Breen,Australia,Baker's Choco Chips,13/01/2023,5891.94,109
Wilone O'Kielt,New Zealand,Fruit & Nut Bars,11/7/2023,6924.52,94
Kaine Padly,Australia,Mint Chip Choco,17/05/2023,4552.57,158
Camilla Castle,New Zealand,Peanut Butter Cubes,21/07/2023,1724.91,60
Curtice Advani,Canada,Organic Choco Syrup,22/02/2023,897.3,21
Jan Morforth,India,99% Dark & Pure,23/05/2023,10283.9,178
Rafaelita Blaksland,Canada,Drinking Coco,12/7/2023,10415.77,200
Jan Morforth,UK,Orange Choco,15/06/2023,4220.83,193
Barr Faughny,New Zealand,50% Dark Bites,23/06/2023,4909.86,304
Curtice Advani,Australia,Eclairs,25/03/2023,6549.62,53
Jan Morforth,India,Caramel Stuffed Bars,4/7/2023,88.72,165
Andria Kimpton,UK,White Choc,12/5/2023,9793.16,110
Camilla Castle,New Zealand,Raspberry Choco,4/4/2023,4823.65,143
Madelene Upcott,Australia,Orange Choco,15/04/2023,7556.55,404
Roddy Speechley,Canada,Eclairs,8/3/2023,7082.03,95
Karlen McCaffrey,India,White Choc,17/01/2023,8361.47,231
Wilone O'Kielt,India,Mint Chip Choco,22/08/2023,1310.5,52
Andria Kimpton,UK,99% Dark & Pure,25/07/2023,1288.1,67
Marney O'Breen,UK,50% Dark Bites,14/06/2023,3288.29,133
Ches Bonnell,India,Choco Coated Almonds,5/4/2023,10669.09,85
Madelene Upcott,UK,Raspberry Choco,26/08/2023,7361.93,344
Wilone O'Kielt,Australia,50% Dark Bites,3/8/2023,10336.22,123
Gigi Bohling,Canada,White Choc,11/7/2023,6985.95,4
Wilone O'Kielt,New Zealand,Eclairs,11/3/2023,3394.46,21
Brien Boise,UK,Peanut Butter Cubes,10/1/2023,15337.23,31
Roddy Speechley,UK,Baker's Choco Chips,4/4/2023,15925.17,378
Karlen McCaffrey,Australia,50% Dark Bites,17/01/2023,7355.77,772
Marney O'Breen,New Zealand,Organic Choco Syrup,8/7/2023,9489.27,54
Jan Morforth,UK,Organic Choco Syrup,12/4/2023,1281.32,354
Rafaelita Blaksland,Canada,Fruit & Nut Bars,24/08/2023,518.07,192
Ches Bonnell,UK,Choco Coated Almonds,7/6/2023,1933.56,239
Gunar Cockshoot,Canada,Almond Choco,28/07/2023,1308.52,30
Husein Augar,USA,99% Dark & Pure,21/02/2023,9878.5,111
Dennison Crosswaite,Canada,Mint Chip Choco,8/4/2023,1943.7,297
Brien Boise,UK,Manuka Honey Choco,28/06/2023,80.62,103
Van Tuxwell,UK,Baker's Choco Chips,24/03/2023,2678.37,20
Barr Faughny,Australia,Caramel Stuffed Bars,29/07/2023,2931.1,60
Dennison Crosswaite,USA,Eclairs,25/05/2023,2316.09,90
Gigi Bohling,Australia,Raspberry Choco,30/03/2023,6722.22,330
Dennison Crosswaite,USA,Organic Choco Syrup,18/07/2023,14528.51,134
Beverie Moffet,Canada,Orange Choco,10/5/2023,9390.28,104
Mallorie Waber,Australia,Choco Coated Almonds,18/03/2023,16230.41,94
Ches Bonnell,India,Caramel Stuffed Bars,15/06/2023,7224.39,55
Van Tuxwell,Canada,50% Dark Bites,12/5/2023,15567.58,57
Kelci Walkden,New Zealand,Baker's Choco Chips,23/06/2023,2964.2,105
Beverie Moffet,India,Spicy Special Slims,21/04/2023,3357.08,186
Gigi Bohling,Australia,Almond Choco,17/08/2023,1010.37,127
Rafaelita Blaksland,New Zealand,Eclairs,7/2/2023,20470.43,54
Kelci Walkden,Canada,Smooth Sliky Salty,17/03/2023,8762.75,115
Jan Morforth,India,Baker's Choco Chips,1/8/2023,14613.52,85
Jehu Rudeforth,Australia,Milk Bars,18/03/2023,9839.46,31
Gigi Bohling,Canada,Fruit & Nut Bars,14/06/2023,6633.23,103
Beverie Moffet,UK,Eclairs,22/04/2023,9749.07,169
Marney O'Breen,New Zealand,Eclairs,18/01/2023,5254.38,31
Husein Augar,Australia,99% Dark & Pure,26/08/2023,3430.43,123
Gunar Cockshoot,New Zealand,Fruit & Nut Bars,10/6/2023,10454.55,434
Curtice Advani,Canada,70% Dark Bites,31/01/2023,2413.87,7
Kelci Walkden,New Zealand,Manuka Honey Choco,8/4/2023,1445.14,108
Dotty Strutley,Australia,Baker's Choco Chips,7/6/2023,4022.64,71
Barr Faughny,Australia,85% Dark Bars,10/2/2023,8651.2,43
Beverie Moffet,Australia,50% Dark Bites,16/05/2023,725.16,453
Gunar Cockshoot,India,Baker's Choco Chips,18/03/2023,2385.4,540
Van Tuxwell,Australia,50% Dark Bites,13/07/2023,726.04,131
Oby Sorrel,USA,Manuka Honey Choco,25/07/2023,4742.35,83
Van Tuxwell,Canada,Choco Coated Almonds,19/08/2023,2556.96,312
Karlen McCaffrey,Canada,70% Dark Bites,24/06/2023,8376.69,646
Kelci Walkden,Canada,Fruit & Nut Bars,20/06/2023,840.71,162
Camilla Castle,India,99% Dark & Pure,2/8/2023,207.87,216
Madelene Upcott,New Zealand,70% Dark Bites,22/02/2023,13370.34,94
Mallorie Waber,New Zealand,Orange Choco,1/2/2023,6811.37,25
Jan Morforth,Canada,70% Dark Bites,14/02/2023,6096.52,300
Kelci Walkden,Australia,Milk Bars,24/02/2023,8684.58,120
Dennison Crosswaite,India,Orange Choco,18/03/2023,873.26,140
Husein Augar,UK,Eclairs,30/08/2023,1912.66,253
Gigi Bohling,USA,Peanut Butter Cubes,9/5/2023,321.61,76
Wilone O'Kielt,USA,Smooth Sliky Salty,18/01/2023,511.12,96
Curtice Advani,India,White Choc,4/7/2023,7887.15,335
Oby Sorrel,New Zealand,Spicy Special Slims,3/6/2023,1793.67,13
Beverie Moffet,New Zealand,Peanut Butter Cubes,23/02/2023,12129.42,29
Dotty Strutley,New Zealand,99% Dark & Pure,9/5/2023,11749.75,213
Kelci Walkden,India,70% Dark Bites,6/6/2023,3967.25,101
Kelci Walkden,India,Drinking Coco,4/7/2023,8105.37,255
Brien Boise,New Zealand,Drinking Coco,6/6/2023,1614.17,106
Dotty Strutley,Australia,Almond Choco,13/05/2023,1613.3,91
Wilone O'Kielt,New Zealand,Organic Choco Syrup,31/01/2023,2155.64,281
Ches Bonnell,New Zealand,Caramel Stuffed Bars,30/06/2023,8184.37,43
Barr Faughny,Canada,Manuka Honey Choco,25/08/2023,3613.32,251
Gigi Bohling,New Zealand,Smooth Sliky Salty,10/1/2023,801.09,101
Brien Boise,USA,Manuka Honey Choco,22/08/2023,2069.48,8
Roddy Speechley,New Zealand,85% Dark Bars,14/04/2023,5096.21,284
Oby Sorrel,UK,Smooth Sliky Salty,31/05/2023,10573.5,338
Oby Sorrel,UK,Raspberry Choco,8/4/2023,4611.37,322
Roddy Speechley,USA,Drinking Coco,21/02/2023,3288.77,148
Andria Kimpton,Australia,Manuka Honey Choco,30/03/2023,10883.13,394
Mallorie Waber,India,Raspberry Choco,2/3/2023,1516.56,2
Jehu Rudeforth,USA,Orange Choco,28/07/2023,391.33,184
Kaine Padly,New Zealand,70% Dark Bites,24/03/2023,7969.08,38
Curtice Advani,Australia,After Nines,11/8/2023,63.71,109
Husein Augar,UK,Almond Choco,17/05/2023,8832.33,175
Kaine Padly,Canada,Choco Coated Almonds,18/05/2023,3542.19,180
Roddy Speechley,UK,Peanut Butter Cubes,17/08/2023,6052.07,173
Ches Bonnell,New Zealand,Eclairs,4/4/2023,543.2,54
Brien Boise,India,85% Dark Bars,9/8/2023,18894.92,201
Brien Boise,New Zealand,Organic Choco Syrup,17/01/2023,689.4,331
Andria Kimpton,Canada,White Choc,14/02/2023,4435.95,31
Gigi Bohling,New Zealand,Orange Choco,16/05/2023,9111.34,324
Ches Bonnell,Canada,Smooth Sliky Salty,16/03/2023,10369.71,129
Husein Augar,Canada,70% Dark Bites,31/01/2023,5833.2,290
Barr Faughny,Canada,Organic Choco Syrup,10/3/2023,1229.96,219
Oby Sorrel,UK,Organic Choco Syrup,30/06/2023,8839.72,170
Van Tuxwell,New Zealand,Eclairs,1/3/2023,5747.66,176
Mallorie Waber,UK,Drinking Coco,27/05/2023,3666.04,107
Oby Sorrel,UK,Milk Bars,11/7/2023,6853.82,220
Karlen McCaffrey,New Zealand,Mint Chip Choco,2/3/2023,4361.01,59
Jehu Rudeforth,USA,Raspberry Choco,4/3/2023,7686.15,141
Kelci Walkden,UK,85% Dark Bars,23/06/2023,4188.43,235
Kelci Walkden,USA,Almond Choco,27/01/2023,5425.24,234
Marney O'Breen,Canada,Orange Choco,14/01/2023,2896.97,456
Dennison Crosswaite,India,Fruit & Nut Bars,29/07/2023,1071.31,23
Brien Boise,Canada,Smooth Sliky Salty,13/05/2023,6417.05,497
Barr Faughny,Canada,Baker's Choco Chips,3/2/2023,10967.31,172
Brien Boise,India,Smooth Sliky Salty,27/05/2023,6345.02,28
Jan Morforth,Australia,Drinking Coco,18/02/2023,2824.71,25
Brien Boise,India,Spicy Special Slims,28/01/2023,1463.67,34
Van Tuxwell,UK,Eclairs,29/06/2023,5856.52,115
Wilone O'Kielt,India,Caramel Stuffed Bars,13/01/2023,4303.86,282
Jehu Rudeforth,UK,After Nines,27/06/2023,2047.77,169
Barr Faughny,Canada,White Choc,29/03/2023,4692.36,1
Gunar Cockshoot,India,Organic Choco Syrup,3/6/2023,7302.42,153
Mallorie Waber,Canada,Smooth Sliky Salty,21/03/2023,2056.92,103
Mallorie Waber,India,Eclairs,12/4/2023,11032.79,49
Rafaelita Blaksland,Australia,Raspberry Choco,19/01/2023,7773.64,247
Karlen McCaffrey,UK,50% Dark Bites,6/4/2023,3843.01,295
Kaine Padly,Australia,50% Dark Bites,2/8/2023,9163.79,81
Gigi Bohling,Australia,Eclairs,12/4/2023,7628.59,146
Oby Sorrel,India,Drinking Coco,21/07/2023,18220.59,139
Van Tuxwell,New Zealand,Baker's Choco Chips,22/03/2023,9828.94,24
Husein Augar,India,Peanut Butter Cubes,9/5/2023,4726.65,5
Andria Kimpton,Australia,Baker's Choco Chips,9/8/2023,344.82,118
Madelene Upcott,Canada,Choco Coated Almonds,20/07/2023,3451.24,283
Brien Boise,India,70% Dark Bites,14/04/2023,5071.49,439
Jehu Rudeforth,Canada,White Choc,25/01/2023,4719.38,132
Andria Kimpton,Australia,Almond Choco,25/04/2023,3430.58,174
Dotty Strutley,Canada,After Nines,17/01/2023,268.3,239
Karlen McCaffrey,USA,Eclairs,15/08/2023,991.46,133
Karlen McCaffrey,Canada,Fruit & Nut Bars,2/6/2023,213.45,17
Gunar Cockshoot,USA,85% Dark Bars,30/06/2023,7586.38,131
Dotty Strutley,New Zealand,Raspberry Choco,10/2/2023,6192.19,99
Marney O'Breen,Canada,Caramel Stuffed Bars,23/02/2023,1510.58,602
Dennison Crosswaite,India,Organic Choco Syrup,27/01/2023,8693.31,209
Camilla Castle,UK,Mint Chip Choco,26/05/2023,5509.77,307
Brien Boise,USA,70% Dark Bites,14/04/2023,1863.2,22
Madelene Upcott,Australia,99% Dark & Pure,1/8/2023,4822.5,159
Mallorie Waber,Australia,Eclairs,22/08/2023,10856.55,229
Marney O'Breen,India,99% Dark & Pure,22/07/2023,11252.11,159
Husein Augar,USA,Fruit & Nut Bars,28/04/2023,1387.72,27
Kelci Walkden,Australia,Almond Choco,30/05/2023,5509.22,341
Ches Bonnell,USA,Milk Bars,21/07/2023,2444.25,155
Jan Morforth,UK,Caramel Stuffed Bars,2/8/2023,3175.62,507
Brien Boise,New Zealand,70% Dark Bites,15/06/2023,7900.42,143
Oby Sorrel,India,85% Dark Bars,5/7/2023,9072.46,142
Kaine Padly,New Zealand,Smooth Sliky Salty,12/4/2023,8.06,513
Gigi Bohling,Australia,70% Dark Bites,18/08/2023,1548.54,104
Jan Morforth,UK,50% Dark Bites,12/1/2023,5501.67,298
Gunar Cockshoot,Canada,White Choc,11/8/2023,7685.42,15
Jehu Rudeforth,Australia,Spicy Special Slims,13/01/2023,5147.77,402
Husein Augar,UK,Baker's Choco Chips,29/04/2023,3070.43,143
Rafaelita Blaksland,New Zealand,After Nines,7/7/2023,1127.5,88
Madelene Upcott,New Zealand,Mint Chip Choco,11/3/2023,8502.77,4
Madelene Upcott,UK,70% Dark Bites,16/02/2023,5961.02,241
Barr Faughny,Australia,Organic Choco Syrup,7/1/2023,2478.33,33
Beverie Moffet,New Zealand,Drinking Coco,12/1/2023,1269.56,497
Beverie Moffet,India,Eclairs,9/6/2023,11130.52,144
Andria Kimpton,India,Eclairs,16/05/2023,2455.09,83
Gigi Bohling,UK,85% Dark Bars,23/06/2023,12764.94,100
Roddy Speechley,UK,Raspberry Choco,28/01/2023,13351.42,198
Dotty Strutley,UK,Mint Chip Choco,14/07/2023,2763.22,223
Barr Faughny,Canada,Drinking Coco,18/04/2023,6523.34,245
Oby Sorrel,USA,Milk Bars,14/06/2023,1868.25,82
Oby Sorrel,UK,Orange Choco,15/04/2023,8431.83,251
Curtice Advani,Canada,Peanut Butter Cubes,19/05/2023,5646.99,64
Gigi Bohling,India,White Choc,13/04/2023,1484.67,180
Husein Augar,Canada,Choco Coated Almonds,15/08/2023,3859.95,395
Wilone O'Kielt,India,Choco Coated Almonds,22/08/2023,3237.3,227
Wilone O'Kielt,New Zealand,Baker's Choco Chips,22/04/2023,4072.43,64
Kaine Padly,UK,Choco Coated Almonds,3/8/2023,8054.87,118
Dennison Crosswaite,New Zealand,Organic Choco Syrup,4/1/2023,420.3,224
Kelci Walkden,Canada,After Nines,13/01/2023,17073.99,218
Van Tuxwell,Australia,Baker's Choco Chips,11/5/2023,13624.31,33
Husein Augar,New Zealand,Peanut Butter Cubes,16/02/2023,2318.46,235
Kaine Padly,UK,Caramel Stuffed Bars,20/05/2023,10740.05,67
Jehu Rudeforth,UK,Drinking Coco,3/2/2023,7624.67,422
Beverie Moffet,India,Manuka Honey Choco,6/5/2023,10168.32,159
Gunar Cockshoot,UK,Choco Coated Almonds,30/06/2023,6635.15,141
Gunar Cockshoot,UK,Smooth Sliky Salty,22/03/2023,860.12,158
Camilla Castle,Canada,Orange Choco,17/02/2023,8671.21,52
Jehu Rudeforth,UK,85% Dark Bars,7/7/2023,5534.11,63
Oby Sorrel,UK,70% Dark Bites,16/03/2023,6800.26,187
Kelci Walkden,UK,99% Dark & Pure,12/8/2023,3927.83,123
Gigi Bohling,New Zealand,After Nines,21/01/2023,5833.8,196
Oby Sorrel,Australia,50% Dark Bites,6/5/2023,733.08,147
Oby Sorrel,Canada,50% Dark Bites,24/06/2023,7164.51,140
Barr Faughny,USA,White Choc,5/5/2023,7900.52,175
Rafaelita Blaksland,New Zealand,99% Dark & Pure,25/03/2023,3550.76,85
Curtice Advani,Australia,Caramel Stuffed Bars,14/02/2023,10281.51,136
Curtice Advani,New Zealand,85% Dark Bars,12/5/2023,5936.81,180
Barr Faughny,New Zealand,Smooth Sliky Salty,25/01/2023,4552.15,172
Ches Bonnell,UK,85% Dark Bars,28/06/2023,15944.86,11
Dennison Crosswaite,Australia,Drinking Coco,13/07/2023,7722.58,188
Roddy Speechley,USA,Milk Bars,16/05/2023,3105.38,268
Jan Morforth,India,After Nines,14/03/2023,6994.35,179
Gunar Cockshoot,USA,After Nines,15/08/2023,4264.49,252
Ches Bonnell,India,Orange Choco,16/02/2023,1215.3,271
Mallorie Waber,UK,Manuka Honey Choco,15/06/2023,8519.37,45
Barr Faughny,Australia,Raspberry Choco,27/05/2023,9810.95,105
Wilone O'Kielt,USA,Drinking Coco,14/06/2023,1065.63,107
Wilone O'Kielt,India,Eclairs,25/02/2023,3894.68,80
Wilone O'Kielt,India,After Nines,4/8/2023,12194.27,252
Kelci Walkden,India,99% Dark & Pure,28/06/2023,2455.13,236
Gunar Cockshoot,Canada,Spicy Special Slims,5/4/2023,14887.76,12
Madelene Upcott,Canada,Peanut Butter Cubes,5/7/2023,15276.46,121
Kaine Padly,New Zealand,Eclairs,20/01/2023,13520.48,47
Ches Bonnell,New Zealand,Drinking Coco,16/02/2023,9195.53,127
Curtice Advani,UK,Drinking Coco,12/7/2023,460.98,182
Kelci Walkden,India,Raspberry Choco,16/06/2023,8216.56,257
Dotty Strutley,Australia,Choco Coated Almonds,13/04/2023,1863.54,277
Kaine Padly,UK,50% Dark Bites,21/02/2023,3283,72
Roddy Speechley,Canada,Choco Coated Almonds,11/5/2023,5967.18,247
Ches Bonnell,India,50% Dark Bites,15/04/2023,12083.5,334
Oby Sorrel,Canada,Peanut Butter Cubes,7/6/2023,12397.06,179
Oby Sorrel,UK,White Choc,27/06/2023,1746.01,280
Barr Faughny,India,After Nines,29/07/2023,9021.65,104
Wilone O'Kielt,Canada,Smooth Sliky Salty,2/6/2023,5263.45,165
Rafaelita Blaksland,India,Mint Chip Choco,26/01/2023,15473,91
Rafaelita Blaksland,Canada,99% Dark & Pure,2/3/2023,5566.57,140
Van Tuxwell,Australia,70% Dark Bites,10/1/2023,8111.43,111
Beverie Moffet,USA,70% Dark Bites,27/06/2023,2341.8,117
Barr Faughny,Canada,Orange Choco,30/06/2023,8650.42,19
Roddy Speechley,Australia,85% Dark Bars,8/7/2023,4444.72,77
Oby Sorrel,India,Spicy Special Slims,8/6/2023,12531.37,86
Jan Morforth,UK,Manuka Honey Choco,18/08/2023,3558.89,231
Kaine Padly,Australia,After Nines,8/4/2023,7889.9,300
Wilone O'Kielt,Canada,Fruit & Nut Bars,8/8/2023,3589.18,176
Wilone O'Kielt,UK,Milk Bars,26/08/2023,305.39,62
Oby Sorrel,Canada,Fruit & Nut Bars,14/01/2023,1896.64,161
